Participant,Age,Language,Ethnicity,Gender,Evaluation.Type,Condition,Profile Number,Order,Text,Liking,Attention Check,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,MR.Composite
1,25,English,Hispanic,Male,Predicted,Maximize,1,,I spent 4 years working for Apple. I currently am pursuing a degree in computer science with a minor in electronic art. I love going to music festivals and have been to Coachella and Outside Lands. I have a dog named Bud who is awesome.  I am half mexican and half pakistani.,6,Write 5 facts about myself that are interesting and would make other people want to see a social profile about me.,3,2,2,6,1,3,2,2,5,2,3,3,3,2,3,4,3,2,3,2,2.8
2,30,English,White,Female,Predicted,Maximize,2,,"1. I really enjoy reading and writing, and have enjoyed moderate success as a writer of fan fiction (not a great claim to fame, but it's all I can boast).\n\n2. I don't really enjoy romantic movies like a lot of girls. I prefer action, fantasy, or comedy.\n\n3. I am currently seven months pregnant with our first child, a little girl that we've named Ava Diana.\n\n4. I am a hard worker who doesn't rest until I've accomplished what I set out to do.\n\n5. I enjoy traveling, cooking, reading and writing (see above), hiking, kayaking, and I love animals of all shapes and sizes.",5,I was supposed to list five facts that would make people interested in meeting me,7,7,5,3,3,6,5,7,5,7,6,5,3,7,1,5,5,7,3,6,5.65
3,31,English,Black,Male,Predicted,Control,3,,"I studied statistics in college, enjoy playing basketball, soccer and sailing. I have become an avid traveler and I am usually thinking of my next trip. I am a logical and rational thinker and I enjoy having philosophical discussions. ",5,"I was to create my profile and could write about my personality, my looks, my education, my family, my hobbies and any other factors that introduce me.",3,5,3,4,2,5,3,4,3,6,5,5,3,4,2,4,2,6,3,2,4.2
4,24,English,Asian,Male,Predicted,Maximize,4,,"I am a 24 year old Asian male.  I have a Bachelor's in Business Administration, and currently work as an accountant.  I am a big fan of both playing and watching sports.  I also enjoy playing video games and reading.  I eat healthy and spend time working out.",5,I have to write 5 factual sentences about me for other people to judge.,7,3,6,4,3,5,2,6,4,3,6,5,3,7,2,5,6,6,2,6,5.05
5,38,English,Other,Female,Predicted,Control,5,,"I love reading, painting, and computer gaming.  I enjoy watching mysteries on tv, or programs about animals.  I also enjoy nonfiction programs about history or how things are made.  I enjoy interior decorating and making each room look its best.  I also enjoy fashion and putting together outfits that are not only comfortable but also beautiful and elegant.  I enjoy being in nature, and while I like the excitement of the city, I can only take it for short times before I prefer to be in a more peaceful environment.",6,"Create a profile for ourselves about any five facts that we choose, such as education, hobbies, jobs, family relationships",5,6,5,5,4,6,7,6,5,7,5,7,2,7,1,5,6,7,5,7,5.6
6,29,English,White,Male,Predicted,Maximize,6,,"I am a single, 29 year old gay male who is the primary caregiver to my 15 year old sister, which tends to occupy the majority of my time. I have been self-employed as an architectural photographer for approximately 12 years, and I absolutely love my clients and my job. Prior to that, I worked as both a graphic designer and marketing manager. I am deeply passionate about creating and design in all its various forms -- at the moment, with very heavy emphasis on interior design. I spend the majority of my free time either reading, or doing low-key activities with friends -- coffee, music events, etc. I also travel regularly to Boston to visit my childhood best friend. ",4,"The instructions essentially said to create a personal profile listing at least five things about me -- education, social life, hobbies, etc. -- that would spark the interest of another individual reading it (something with which I am absolutely terrible at doing as my life is essentially child-rearing and work",4,7,3,3,5,6,2,6,5,2,4,7,3,2,3,4,5,2,5,6,4.3
7,36,English,White,Male,Predicted,Maximize,7,,"I was blind for two years and now have fully intact vision. I've helped deliver about 3,000 babies. One of my legs is a little longer than the other. I love snakes and have two boas. I've never had alcohol to drink.",7,I needed to write five interesting things about myself.,1,1,1,7,2,2,2,2,7,1,1,1,7,1,7,1,1,1,7,1,1.2
8,56,English,White,Female,Predicted,Control,8,,"I'm a great story teller. I've got a vivid imagination. I'm a party person. I love to hang out with friends and strangers alike. But I also love to stay up all night with the cats, reading a great book.",6,"I should try to find the most attractive and appealing things to write for my profile, so that people are interested in viewing ",2,5,1,5,1,2,1,4,6,5,2,1,6,5,3,2,1,5,3,1,2.75
9,24,English,Hispanic,Male,Predicted,Maximize,9,,I play tennis. I read fiction. I read non fiction. I have a bachelor of science. I like biology.,5,"It has to be things that people will like, and make them talk to me.",5,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2.4
10,40,English,White,Male,Predicted,Control,10,,I am loyal. I am genuine. I am not quick to anger. I am calm in the face of danger. I have brown hair.,6,"List five things about you. They can be hobbies, interests, personality types, looks, etc.""",5,5,5,3,4,5,5,5,3,5,5,5,5,6,3,5,5,5,4,5,4.85
