workerid,face_dft,condition,rating,dft
anon0,0,attractive,7,0
anon0,10,attractive,6.33333333333333,10
anon0,20,attractive,6.66666666666667,20
anon0,30,attractive,6.66666666666667,30
anon0,40,attractive,6.33333333333333,40
anon0,50,attractive,6.66666666666667,50
anon0,60,attractive,7,60
anon0,70,attractive,6.66666666666667,70
anon0,80,attractive,6.66666666666667,80
anon0,90,attractive,6.66666666666667,90
anon0,100,attractive,6.66666666666667,100
anon1,0,attractive,7,0
anon1,10,attractive,7,10
anon1,20,attractive,7,20
anon1,30,attractive,7.66666666666667,30
anon1,40,attractive,8,40
anon1,50,attractive,8,50
anon1,60,attractive,8,60
anon1,70,attractive,8,70
anon1,80,attractive,8,80
anon1,90,attractive,8,90
anon1,100,attractive,8,100
anon10,0,trustworthy,7.66666666666667,0
anon10,10,trustworthy,8,10
anon10,20,trustworthy,8,20
anon10,30,trustworthy,8,30
anon10,40,trustworthy,8,40
anon10,50,trustworthy,8,50
anon10,60,trustworthy,8,60
anon10,70,trustworthy,8,70
anon10,80,trustworthy,8,80
anon10,90,trustworthy,8,90
anon10,100,trustworthy,8,100
anon11,0,attractive,5,0
anon11,10,attractive,5.33333333333333,10
anon11,20,attractive,5,20
anon11,30,attractive,5.33333333333333,30
anon11,40,attractive,6.66666666666667,40
anon11,50,attractive,6.66666666666667,50
anon11,60,attractive,7.33333333333333,60
anon11,70,attractive,7,70
anon11,80,attractive,7.33333333333333,80
anon11,90,attractive,7.66666666666667,90
anon11,100,attractive,6.66666666666667,100
anon12,0,attractive,1,0
anon12,10,attractive,1,10
anon12,20,attractive,3.66666666666667,20
anon12,30,attractive,6.33333333333333,30
anon12,40,attractive,9,40
anon12,50,attractive,9,50
anon12,60,attractive,9,60
anon12,70,attractive,9,70
anon12,80,attractive,9,80
anon12,90,attractive,9,90
anon12,100,attractive,9,100
anon13,0,attractive,6.33333333333333,0
anon13,10,attractive,7,10
anon13,20,attractive,6.66666666666667,20
anon13,30,attractive,7.66666666666667,30
anon13,40,attractive,7.66666666666667,40
anon13,50,attractive,8,50
anon13,60,attractive,6.33333333333333,60
anon13,70,attractive,6.66666666666667,70
anon13,80,attractive,7.33333333333333,80
anon13,90,attractive,8,90
anon13,100,attractive,7.66666666666667,100
anon14,0,trustworthy,3,0
anon14,10,trustworthy,2.66666666666667,10
anon14,20,trustworthy,1.66666666666667,20
anon14,30,trustworthy,3,30
anon14,40,trustworthy,1.66666666666667,40
anon14,50,trustworthy,2.33333333333333,50
anon14,60,trustworthy,3,60
anon14,70,trustworthy,1.66666666666667,70
anon14,80,trustworthy,1.33333333333333,80
anon14,90,trustworthy,1.33333333333333,90
anon14,100,trustworthy,1,100
anon15,0,trustworthy,6.66666666666667,0
anon15,10,trustworthy,6,10
anon15,20,trustworthy,5,20
anon15,30,trustworthy,6.66666666666667,30
anon15,40,trustworthy,6,40
anon15,50,trustworthy,7,50
anon15,60,trustworthy,8,60
anon15,70,trustworthy,6,70
anon15,80,trustworthy,7.66666666666667,80
anon15,90,trustworthy,7.66666666666667,90
anon15,100,trustworthy,8.66666666666667,100
anon16,0,attractive,8,0
anon16,10,attractive,8.33333333333333,10
anon16,20,attractive,8,20
anon16,30,attractive,8.33333333333333,30
anon16,40,attractive,8.33333333333333,40
anon16,50,attractive,8.66666666666667,50
anon16,60,attractive,9,60
anon16,70,attractive,9,70
anon16,80,attractive,9,80
anon16,90,attractive,9,90
anon16,100,attractive,9,100
anon17,0,trustworthy,7,0
anon17,10,trustworthy,6.66666666666667,10
anon17,20,trustworthy,7,20
anon17,30,trustworthy,7,30
anon17,40,trustworthy,7,40
anon17,50,trustworthy,7,50
anon17,60,trustworthy,6.66666666666667,60
anon17,70,trustworthy,6.66666666666667,70
anon17,80,trustworthy,7,80
anon17,90,trustworthy,7,90
anon17,100,trustworthy,7,100
anon18,0,trustworthy,3.66666666666667,0
anon18,10,trustworthy,3.66666666666667,10
anon18,20,trustworthy,4,20
anon18,30,trustworthy,4.66666666666667,30
anon18,40,trustworthy,5.66666666666667,40
anon18,50,trustworthy,6.66666666666667,50
anon18,60,trustworthy,7,60
anon18,70,trustworthy,7,70
anon18,80,trustworthy,7.33333333333333,80
anon18,90,trustworthy,7,90
anon18,100,trustworthy,7,100
anon19,0,attractive,5,0
anon19,10,attractive,5,10
anon19,20,attractive,6,20
anon19,30,attractive,6.66666666666667,30
anon19,40,attractive,6,40
anon19,50,attractive,7.66666666666667,50
anon19,60,attractive,7.33333333333333,60
anon19,70,attractive,8,70
anon19,80,attractive,8,80
anon19,90,attractive,8,90
anon19,100,attractive,8,100
anon2,0,trustworthy,5,0
anon2,10,trustworthy,5.33333333333333,10
anon2,20,trustworthy,5.33333333333333,20
anon2,30,trustworthy,7.33333333333333,30
anon2,40,trustworthy,6.66666666666667,40
anon2,50,trustworthy,8,50
anon2,60,trustworthy,7,60
anon2,70,trustworthy,8,70
anon2,80,trustworthy,8,80
anon2,90,trustworthy,8,90
anon2,100,trustworthy,8,100
anon20,0,attractive,6,0
anon20,10,attractive,6,10
anon20,20,attractive,6,20
anon20,30,attractive,6.33333333333333,30
anon20,40,attractive,6.33333333333333,40
anon20,50,attractive,7,50
anon20,60,attractive,7.33333333333333,60
anon20,70,attractive,7,70
anon20,80,attractive,7.66666666666667,80
anon20,90,attractive,7.33333333333333,90
anon20,100,attractive,8,100
anon21,0,trustworthy,5.33333333333333,0
anon21,10,trustworthy,5,10
anon21,20,trustworthy,5,20
anon21,30,trustworthy,6.33333333333333,30
anon21,40,trustworthy,5.33333333333333,40
anon21,50,trustworthy,5.66666666666667,50
anon21,60,trustworthy,5.33333333333333,60
anon21,70,trustworthy,6,70
anon21,80,trustworthy,5.66666666666667,80
anon21,90,trustworthy,5.33333333333333,90
anon21,100,trustworthy,6,100
anon22,0,attractive,5.33333333333333,0
anon22,10,attractive,5,10
anon22,20,attractive,5.66666666666667,20
anon22,30,attractive,6.33333333333333,30
anon22,40,attractive,7.66666666666667,40
anon22,50,attractive,8.33333333333333,50
anon22,60,attractive,9,60
anon22,70,attractive,9,70
anon22,80,attractive,9,80
anon22,90,attractive,9,90
anon22,100,attractive,9,100
anon23,0,trustworthy,7,0
anon23,10,trustworthy,7.33333333333333,10
anon23,20,trustworthy,7,20
anon23,30,trustworthy,7.33333333333333,30
anon23,40,trustworthy,7.33333333333333,40
anon23,50,trustworthy,7,50
anon23,60,trustworthy,7.33333333333333,60
anon23,70,trustworthy,6.33333333333333,70
anon23,80,trustworthy,6.33333333333333,80
anon23,90,trustworthy,5.66666666666667,90
anon23,100,trustworthy,5.33333333333333,100
anon24,0,attractive,5,0
anon24,10,attractive,4.66666666666667,10
anon24,20,attractive,6.33333333333333,20
anon24,30,attractive,6,30
anon24,40,attractive,6.66666666666667,40
anon24,50,attractive,7,50
anon24,60,attractive,8,60
anon24,70,attractive,7.66666666666667,70
anon24,80,attractive,8,80
anon24,90,attractive,8.33333333333333,90
anon24,100,attractive,8.33333333333333,100
anon25,0,attractive,7,0
anon25,10,attractive,7,10
anon25,20,attractive,7,20
anon25,30,attractive,7.33333333333333,30
anon25,40,attractive,7,40
anon25,50,attractive,7.33333333333333,50
anon25,60,attractive,7.66666666666667,60
anon25,70,attractive,8,70
anon25,80,attractive,8.33333333333333,80
anon25,90,attractive,8.33333333333333,90
anon25,100,attractive,9,100
anon26,0,trustworthy,7.66666666666667,0
anon26,10,trustworthy,6.66666666666667,10
anon26,20,trustworthy,7.33333333333333,20
anon26,30,trustworthy,7.33333333333333,30
anon26,40,trustworthy,7,40
anon26,50,trustworthy,6.33333333333333,50
anon26,60,trustworthy,6,60
anon26,70,trustworthy,7,70
anon26,80,trustworthy,6.66666666666667,80
anon26,90,trustworthy,7,90
anon26,100,trustworthy,7.66666666666667,100
anon27,0,attractive,6.66666666666667,0
anon27,10,attractive,6.33333333333333,10
anon27,20,attractive,7.33333333333333,20
anon27,30,attractive,7.33333333333333,30
anon27,40,attractive,7.66666666666667,40
anon27,50,attractive,7.33333333333333,50
anon27,60,attractive,8.66666666666667,60
anon27,70,attractive,9,70
anon27,80,attractive,8.66666666666667,80
anon27,90,attractive,8.66666666666667,90
anon27,100,attractive,8.66666666666667,100
anon28,0,attractive,7.33333333333333,0
anon28,10,attractive,7,10
anon28,20,attractive,7,20
anon28,30,attractive,7.33333333333333,30
anon28,40,attractive,7.66666666666667,40
anon28,50,attractive,8,50
anon28,60,attractive,8,60
anon28,70,attractive,8,70
anon28,80,attractive,8,80
anon28,90,attractive,8,90
anon28,100,attractive,8,100
anon29,0,attractive,2.66666666666667,0
anon29,10,attractive,3.33333333333333,10
anon29,20,attractive,3.33333333333333,20
anon29,30,attractive,3.66666666666667,30
anon29,40,attractive,4.66666666666667,40
anon29,50,attractive,6.66666666666667,50
anon29,60,attractive,4.66666666666667,60
anon29,70,attractive,6.66666666666667,70
anon29,80,attractive,7,80
anon29,90,attractive,8,90
anon29,100,attractive,8,100
anon3,0,trustworthy,7,0
anon3,10,trustworthy,6.33333333333333,10
