"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.1savingsAccount","Answer.2inflation","Answer.3interest","Answer.4mortgage","Answer.5stocks","Answer.FLQuizScore","Answer.accuracy","Answer.age","Answer.comments","Answer.gender","Answer.language","Answer.normalItemScore","Answer.overclaimingScore","Answer.personalFinanceClaimScore","Answer.personalFinanceFirst","Answer.questions","Answer.race","Answer.version","Approve","Reject"
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-1","Approved","Wed Mar 09 14:58:45 PST 2016","Wed Mar 09 15:00:01 PST 2016","Wed Mar 09 16:00:01 PST 2016","2016-03-10 00:00:27 UTC",NA,NA,76,"100% (3/3)","100% (3/3)","100% (3/3)","""Exactly+102""","""More""","""Fall""","""True""","""False""",3,-0.25,"""29""","""ty""","""male""","""english""",0.527777778,0.777777778,6.5,0,"[{""qNumber"":0,""financeTerm"":""stock options"",""response"":""5"",""rt"":2402},{""qNumber"":1,""financeTerm"":""home equity"",""response"":""4"",""rt"":1452},{""qNumber"":2,""financeTerm"":""whole life insurance"",""response"":""3"",""rt"":2031},{""qNumber"":3,""financeTerm"":""tax bracket"",""response"":""6"",""rt"":1542},{""qNumber"":4,""financeTerm"":""annualized credit"",""response"":""5"",""rt"":1362},{""qNumber"":5,""financeTerm"":""fixed-rate mortgage"",""response"":""4"",""rt"":1043},{""qNumber"":6,""financeTerm"":""revolving credit"",""response"":""3"",""rt"":1018},{""qNumber"":7,""financeTerm"":""pre-rated stocks"",""response"":""6"",""rt"":2875},{""qNumber"":8,""financeTerm"":""inflation"",""response"":""4"",""rt"":1574},{""qNumber"":9,""financeTerm"":""Roth IRA"",""response"":""5"",""rt"":1286},{""qNumber"":10,""financeTerm"":""fixed-rate deduction"",""response"":""6"",""rt"":1504},{""qNumber"":11,""financeTerm"":""interest rate"",""response"":""4"",""rt"":932},{""qNumber"":12,""financeTerm"":""private equity fund"",""response"":""3"",""rt"":1159},{""qNumber"":13,""financeTerm"":""retirement"",""response"":""4"",""rt"":1224},{""qNumber"":14,""financeTerm"":""vesting"",""response"":""5"",""rt"":1158},{""qNumber"":15,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""6"",""rt"":2113},{""qNumber"":16,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""7"",""rt"":1707}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-2","Approved","Wed Mar 09 14:59:05 PST 2016","Wed Mar 09 15:00:47 PST 2016","Wed Mar 09 16:00:47 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,102,"100% (1/1)","100% (1/1)","100% (1/1)","""Less+than+102""","""Same""","""Rise""","""False""","""True""",0,0.027777778,"""25""","""good""","""female""","""tamil""",0.805555556,0.777777778,6.5,1,"[{""qNumber"":0,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""7"",""rt"":3987},{""qNumber"":1,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""6"",""rt"":4856},{""qNumber"":2,""financeTerm"":""home equity"",""response"":""7"",""rt"":2215},{""qNumber"":3,""financeTerm"":""whole life insurance"",""response"":""6"",""rt"":2549},{""qNumber"":4,""financeTerm"":""inflation"",""response"":""6"",""rt"":1800},{""qNumber"":5,""financeTerm"":""interest rate"",""response"":""5"",""rt"":1167},{""qNumber"":6,""financeTerm"":""revolving credit"",""response"":""6"",""rt"":5434},{""qNumber"":7,""financeTerm"":""Roth IRA"",""response"":""6"",""rt"":1813},{""qNumber"":8,""financeTerm"":""vesting"",""response"":""6"",""rt"":1453},{""qNumber"":9,""financeTerm"":""fixed-rate mortgage"",""response"":""6"",""rt"":7566},{""qNumber"":10,""financeTerm"":""retirement"",""response"":""5"",""rt"":1716},{""qNumber"":11,""financeTerm"":""annualized credit"",""response"":""6"",""rt"":1469},{""qNumber"":12,""financeTerm"":""private equity fund"",""response"":""6"",""rt"":1333},{""qNumber"":13,""financeTerm"":""tax bracket"",""response"":""5"",""rt"":1049},{""qNumber"":14,""financeTerm"":""stock options"",""response"":""6"",""rt"":916},{""qNumber"":15,""financeTerm"":""fixed-rate deduction"",""response"":""5"",""rt"":917},{""qNumber"":16,""financeTerm"":""pre-rated stocks"",""response"":""6"",""rt"":865}]","""asian""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-3","Approved","Wed Mar 09 14:59:08 PST 2016","Wed Mar 09 15:01:05 PST 2016","Wed Mar 09 16:01:05 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,117,"100% (1/1)","100% (1/1)","100% (1/1)","""More+than+102""","""Less""","""Fall""","""True""","""Don't+know""",4,0.166666667,"""25""","""""","""male""","""English""",0.277777778,0.111111111,3.5,1,"[{""qNumber"":0,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":3495},{""qNumber"":1,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""4"",""rt"":4420},{""qNumber"":2,""financeTerm"":""vesting"",""response"":""2"",""rt"":2776},{""qNumber"":3,""financeTerm"":""interest rate"",""response"":""3"",""rt"":2030},{""qNumber"":4,""financeTerm"":""fixed-rate mortgage"",""response"":""2"",""rt"":2616},{""qNumber"":5,""financeTerm"":""revolving credit"",""response"":""2"",""rt"":1902},{""qNumber"":6,""financeTerm"":""inflation"",""response"":""5"",""rt"":2280},{""qNumber"":7,""financeTerm"":""pre-rated stocks"",""response"":""2"",""rt"":1953},{""qNumber"":8,""financeTerm"":""retirement"",""response"":""4"",""rt"":2052},{""qNumber"":9,""financeTerm"":""home equity"",""response"":""2"",""rt"":1577},{""qNumber"":10,""financeTerm"":""annualized credit"",""response"":""1"",""rt"":1930},{""qNumber"":11,""financeTerm"":""whole life insurance"",""response"":""2"",""rt"":2210},{""qNumber"":12,""financeTerm"":""fixed-rate deduction"",""response"":""2"",""rt"":2002},{""qNumber"":13,""financeTerm"":""private equity fund"",""response"":""2"",""rt"":3103},{""qNumber"":14,""financeTerm"":""tax bracket"",""response"":""4"",""rt"":2903},{""qNumber"":15,""financeTerm"":""Roth IRA"",""response"":""2"",""rt"":1872},{""qNumber"":16,""financeTerm"":""stock options"",""response"":""2"",""rt"":2297}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-4","Approved","Wed Mar 09 14:58:47 PST 2016","Wed Mar 09 15:01:03 PST 2016","Wed Mar 09 16:01:03 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,136,"100% (9/9)","100% (6/6)","100% (6/6)","""More+than+102""","""Less""","""Fall""","""True""","""False""",5,0.416666667,"""26""","""""","""male""","""english""",0.583333333,0.166666667,3.5,1,"[{""qNumber"":0,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":2833},{""qNumber"":1,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""4"",""rt"":3421},{""qNumber"":2,""financeTerm"":""inflation"",""response"":""5"",""rt"":2400},{""qNumber"":3,""financeTerm"":""Roth IRA"",""response"":""5"",""rt"":1607},{""qNumber"":4,""financeTerm"":""interest rate"",""response"":""6"",""rt"":1425},{""qNumber"":5,""financeTerm"":""home equity"",""response"":""4"",""rt"":1752},{""qNumber"":6,""financeTerm"":""whole life insurance"",""response"":""2"",""rt"":1687},{""qNumber"":7,""financeTerm"":""fixed-rate mortgage"",""response"":""4"",""rt"":1465},{""qNumber"":8,""financeTerm"":""stock options"",""response"":""5"",""rt"":1832},{""qNumber"":9,""financeTerm"":""tax bracket"",""response"":""6"",""rt"":1808},{""qNumber"":10,""financeTerm"":""pre-rated stocks"",""response"":""2"",""rt"":2456},{""qNumber"":11,""financeTerm"":""annualized credit"",""response"":""2"",""rt"":1776},{""qNumber"":12,""financeTerm"":""private equity fund"",""response"":""4"",""rt"":2064},{""qNumber"":13,""financeTerm"":""vesting"",""response"":""5"",""rt"":2007},{""qNumber"":14,""financeTerm"":""retirement"",""response"":""6"",""rt"":1599},{""qNumber"":15,""financeTerm"":""fixed-rate deduction"",""response"":""2"",""rt"":2658},{""qNumber"":16,""financeTerm"":""revolving credit"",""response"":""2"",""rt"":1608}]","""asian""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-5","Approved","Wed Mar 09 14:59:12 PST 2016","Wed Mar 09 15:01:32 PST 2016","Wed Mar 09 16:01:32 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,140,"100% (2/2)","100% (2/2)","100% (2/2)","""More+than+102""","""Less""","""Fall""","""True""","""False""",5,0.152777778,"""21""","""""","""male""","""English""",0.708333333,0.555555556,5,0,"[{""qNumber"":0,""financeTerm"":""stock options"",""response"":""5"",""rt"":4582},{""qNumber"":1,""financeTerm"":""inflation"",""response"":""5"",""rt"":1928},{""qNumber"":2,""financeTerm"":""whole life insurance"",""response"":""3"",""rt"":2263},{""qNumber"":3,""financeTerm"":""retirement"",""response"":""6"",""rt"":2241},{""qNumber"":4,""financeTerm"":""Roth IRA"",""response"":""5"",""rt"":2528},{""qNumber"":5,""financeTerm"":""pre-rated stocks"",""response"":""4"",""rt"":2110},{""qNumber"":6,""financeTerm"":""fixed-rate mortgage"",""response"":""5"",""rt"":1979},{""qNumber"":7,""financeTerm"":""fixed-rate deduction"",""response"":""5"",""rt"":3667},{""qNumber"":8,""financeTerm"":""annualized credit"",""response"":""4"",""rt"":2307},{""qNumber"":9,""financeTerm"":""interest rate"",""response"":""7"",""rt"":2220},{""qNumber"":10,""financeTerm"":""revolving credit"",""response"":""6"",""rt"":2040},{""qNumber"":11,""financeTerm"":""tax bracket"",""response"":""6"",""rt"":1777},{""qNumber"":12,""financeTerm"":""private equity fund"",""response"":""5"",""rt"":2139},{""qNumber"":13,""financeTerm"":""home equity"",""response"":""6"",""rt"":1761},{""qNumber"":14,""financeTerm"":""vesting"",""response"":""4"",""rt"":1743},{""qNumber"":15,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""5"",""rt"":4618},{""qNumber"":16,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""5"",""rt"":3048}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-6","Approved","Wed Mar 09 14:59:01 PST 2016","Wed Mar 09 15:01:25 PST 2016","Wed Mar 09 16:01:25 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,144,"100% (2/2)","100% (2/2)","100% (2/2)","""More+than+102""","""More""","""Don't+know""","""True""","""False""",3,0.236111111,"""""","""""","""male""","""English""",0.291666667,0.055555556,3,0,"[{""qNumber"":0,""financeTerm"":""tax bracket"",""response"":""2"",""rt"":3473},{""qNumber"":1,""financeTerm"":""stock options"",""response"":""2"",""rt"":2463},{""qNumber"":2,""financeTerm"":""private equity fund"",""response"":""1"",""rt"":2478},{""qNumber"":3,""financeTerm"":""vesting"",""response"":""1"",""rt"":1424},{""qNumber"":4,""financeTerm"":""Roth IRA"",""response"":""2"",""rt"":1561},{""qNumber"":5,""financeTerm"":""home equity"",""response"":""2"",""rt"":1255},{""qNumber"":6,""financeTerm"":""revolving credit"",""response"":""2"",""rt"":1288},{""qNumber"":7,""financeTerm"":""whole life insurance"",""response"":""4"",""rt"":1944},{""qNumber"":8,""financeTerm"":""fixed-rate deduction"",""response"":""1"",""rt"":2000},{""qNumber"":9,""financeTerm"":""inflation"",""response"":""5"",""rt"":1832},{""qNumber"":10,""financeTerm"":""annualized credit"",""response"":""2"",""rt"":3545},{""qNumber"":11,""financeTerm"":""fixed-rate mortgage"",""response"":""4"",""rt"":2223},{""qNumber"":12,""financeTerm"":""interest rate"",""response"":""5"",""rt"":1696},{""qNumber"":13,""financeTerm"":""retirement"",""response"":""3"",""rt"":1561},{""qNumber"":14,""financeTerm"":""pre-rated stocks"",""response"":""1"",""rt"":1815},{""qNumber"":15,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":4048},{""qNumber"":16,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""3"",""rt"":4568}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-7","Approved","Wed Mar 09 14:58:50 PST 2016","Wed Mar 09 15:01:29 PST 2016","Wed Mar 09 16:01:29 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,159,"100% (2/2)","100% (2/2)","100% (2/2)","""More+than+102""","""Less""","""Don't+know""","""True""","""False""",4,0.347222222,"""25""","""Sometimes+the+scrolling+is+a+bit+tough+on+the+MTurk+site%2C+it+might+be+easier+to+host+it+on+a+3rd+party+site.""","""male""","""English""",0.625,0.277777778,4,1,"[{""qNumber"":0,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":3111},{""qNumber"":1,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""5"",""rt"":4542},{""qNumber"":2,""financeTerm"":""fixed-rate mortgage"",""response"":""5"",""rt"":2609},{""qNumber"":3,""financeTerm"":""inflation"",""response"":""7"",""rt"":1916},{""qNumber"":4,""financeTerm"":""private equity fund"",""response"":""6"",""rt"":2079},{""qNumber"":5,""financeTerm"":""interest rate"",""response"":""7"",""rt"":1315},{""qNumber"":6,""financeTerm"":""home equity"",""response"":""6"",""rt"":2805},{""qNumber"":7,""financeTerm"":""annualized credit"",""response"":""1"",""rt"":2630},{""qNumber"":8,""financeTerm"":""fixed-rate deduction"",""response"":""5"",""rt"":2551},{""qNumber"":9,""financeTerm"":""pre-rated stocks"",""response"":""2"",""rt"":1812},{""qNumber"":10,""financeTerm"":""whole life insurance"",""response"":""2"",""rt"":2313},{""qNumber"":11,""financeTerm"":""revolving credit"",""response"":""1"",""rt"":1820},{""qNumber"":12,""financeTerm"":""retirement"",""response"":""7"",""rt"":1741},{""qNumber"":13,""financeTerm"":""vesting"",""response"":""2"",""rt"":2478},{""qNumber"":14,""financeTerm"":""Roth IRA"",""response"":""1"",""rt"":1594},{""qNumber"":15,""financeTerm"":""tax bracket"",""response"":""6"",""rt"":2678},{""qNumber"":16,""financeTerm"":""stock options"",""response"":""7"",""rt"":1580}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-8","Approved","Wed Mar 09 14:58:53 PST 2016","Wed Mar 09 15:01:37 PST 2016","Wed Mar 09 16:01:37 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,164,"100% (1/1)","100% (1/1)","100% (1/1)","""More+than+102""","""Less""","""Don't+know""","""True""","""False""",4,0.305555556,"""26""","""""","""female""","""English""",0.472222222,0.166666667,4,0,"[{""qNumber"":0,""financeTerm"":""retirement"",""response"":""6"",""rt"":3376},{""qNumber"":1,""financeTerm"":""annualized credit"",""response"":""2"",""rt"":3340},{""qNumber"":2,""financeTerm"":""private equity fund"",""response"":""1"",""rt"":1889},{""qNumber"":3,""financeTerm"":""pre-rated stocks"",""response"":""2"",""rt"":3066},{""qNumber"":4,""financeTerm"":""Roth IRA"",""response"":""1"",""rt"":2140},{""qNumber"":5,""financeTerm"":""tax bracket"",""response"":""6"",""rt"":2331},{""qNumber"":6,""financeTerm"":""vesting"",""response"":""1"",""rt"":2307},{""qNumber"":7,""financeTerm"":""home equity"",""response"":""5"",""rt"":2141},{""qNumber"":8,""financeTerm"":""fixed-rate deduction"",""response"":""2"",""rt"":2837},{""qNumber"":9,""financeTerm"":""revolving credit"",""response"":""1"",""rt"":2533},{""qNumber"":10,""financeTerm"":""fixed-rate mortgage"",""response"":""5"",""rt"":2330},{""qNumber"":11,""financeTerm"":""interest rate"",""response"":""6"",""rt"":3470},{""qNumber"":12,""financeTerm"":""stock options"",""response"":""6"",""rt"":2938},{""qNumber"":13,""financeTerm"":""inflation"",""response"":""7"",""rt"":2851},{""qNumber"":14,""financeTerm"":""whole life insurance"",""response"":""1"",""rt"":1943},{""qNumber"":15,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":3794},{""qNumber"":16,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""5"",""rt"":3890}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-9","Approved","Wed Mar 09 14:59:00 PST 2016","Wed Mar 09 15:01:45 PST 2016","Wed Mar 09 16:01:45 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,165,"100% (3/3)","100% (2/2)","100% (2/2)","""More+than+102""","""Less""","""Fall""","""True""","""False""",5,0.180555556,"""37""","""""","""male""","""English""",0.847222222,0.666666667,5,1,"[{""qNumber"":0,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""5"",""rt"":4844},{""qNumber"":1,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""5"",""rt"":3451},{""qNumber"":2,""financeTerm"":""retirement"",""response"":""6"",""rt"":2944},{""qNumber"":3,""financeTerm"":""Roth IRA"",""response"":""5"",""rt"":1888},{""qNumber"":4,""financeTerm"":""private equity fund"",""response"":""5"",""rt"":5089},{""qNumber"":5,""financeTerm"":""stock options"",""response"":""7"",""rt"":6976},{""qNumber"":6,""financeTerm"":""vesting"",""response"":""6"",""rt"":2743},{""qNumber"":7,""financeTerm"":""annualized credit"",""response"":""5"",""rt"":1800},{""qNumber"":8,""financeTerm"":""revolving credit"",""response"":""5"",""rt"":1625},{""qNumber"":9,""financeTerm"":""fixed-rate deduction"",""response"":""5"",""rt"":2423},{""qNumber"":10,""financeTerm"":""pre-rated stocks"",""response"":""5"",""rt"":2432},{""qNumber"":11,""financeTerm"":""inflation"",""response"":""7"",""rt"":1800},{""qNumber"":12,""financeTerm"":""whole life insurance"",""response"":""4"",""rt"":2336},{""qNumber"":13,""financeTerm"":""tax bracket"",""response"":""7"",""rt"":2553},{""qNumber"":14,""financeTerm"":""fixed-rate mortgage"",""response"":""7"",""rt"":2000},{""qNumber"":15,""financeTerm"":""interest rate"",""response"":""7"",""rt"":6127},{""qNumber"":16,""financeTerm"":""home equity"",""response"":""7"",""rt"":3055}]","""white""","""feb6""",NA,NA
"3UOMW19E6D6QTJIZ26EA4X8ENR7C5R","3ML4SXAKAKMAAS1OKP1CQ90QZ4C9BF","5 minutes to answer a quick survey about finance","Quick research survey on finance, total time ~5 minutes","survey, research, science","$0.45 ","Wed Mar 09 14:58:19 PST 2016",50,"BatchId:2303798;",3600,3600,"Wed Mar 16 15:58:19 PDT 2016",NA,NA,"anon-10","Approved","Wed Mar 09 14:58:56 PST 2016","Wed Mar 09 15:01:47 PST 2016","Wed Mar 09 16:01:47 PST 2016","2016-03-10 00:05:27 UTC",NA,NA,171,"100% (1/1)","100% (1/1)","100% (1/1)","""More+than+102""","""Less""","""Rise""","""True""","""False""",4,0.222222222,"""19""","""""","""male""","""English""",0.277777778,0.055555556,4,0,"[{""qNumber"":0,""financeTerm"":""retirement"",""response"":""2"",""rt"":5305},{""qNumber"":1,""financeTerm"":""stock options"",""response"":""3"",""rt"":3094},{""qNumber"":2,""financeTerm"":""home equity"",""response"":""1"",""rt"":2198},{""qNumber"":3,""financeTerm"":""fixed-rate deduction"",""response"":""1"",""rt"":2031},{""qNumber"":4,""financeTerm"":""tax bracket"",""response"":""4"",""rt"":2515},{""qNumber"":5,""financeTerm"":""fixed-rate mortgage"",""response"":""3"",""rt"":3806},{""qNumber"":6,""financeTerm"":""whole life insurance"",""response"":""2"",""rt"":2520},{""qNumber"":7,""financeTerm"":""annualized credit"",""response"":""1"",""rt"":2233},{""qNumber"":8,""financeTerm"":""pre-rated stocks"",""response"":""2"",""rt"":2380},{""qNumber"":9,""financeTerm"":""revolving credit"",""response"":""1"",""rt"":2429},{""qNumber"":10,""financeTerm"":""vesting"",""response"":""1"",""rt"":1993},{""qNumber"":11,""financeTerm"":""interest rate"",""response"":""6"",""rt"":3372},{""qNumber"":12,""financeTerm"":""private equity fund"",""response"":""2"",""rt"":1935},{""qNumber"":13,""financeTerm"":""Roth IRA"",""response"":""1"",""rt"":1979},{""qNumber"":14,""financeTerm"":""inflation"",""response"":""6"",""rt"":1927},{""qNumber"":15,""personalFinanceQuestion"":""In general, how knowledgable would you say you are about personal finance?"",""response"":""3"",""rt"":6376},{""qNumber"":16,""personalFinanceQuestion"":""How would you rate your general knowledge of personal finance compared to the average American?"",""response"":""5"",""rt"":6179}]","""white""","""feb6""",NA,NA
