"","workerId","trial_num","start_num","digits","word_condition","save_choice","save_condition","FileB","FileA","B_Recall","A_Recall","time","age","gender","homelang","race","DigitScore","AScore","BScore"
"1","anon0",3,534,"531
531
531
531
531
531
531
531
531
531
531
531
531
531
531
5",8,"delete","delete","title,tub,letter,cellar,offer,planes,knee,hope","chess,curtain,time,plant,pies,geese,jar,word","word
cellar
offer
knee
hope","chess
curtain
time
",105296,"38","female","English","white",1,0.375,0.5
"2","anon0",4,327,"324
324
324
324
324
324
324
324
324
324
324
324
3",8,"save","save","moth,steel,lumber,suit,sound,trip,sign,junk","cup,street,paper,bank,voyage,fuel,swing,bag","moth
steel
swing
back
lumber
","cup
street
paper
bank
voyage
fuel
swing
bag",118807,"38","female","English","white",1,1,0.375
"3","anon0",5,477,"444
444
444
444
444
444
444
444
444
444
444
444
444
444
4444
444
444",8,"save","save","top,animal,stream,test,meat,chair,store,bead","flag,eggs,boy,rail,party,snow,button,wine","top
animal
stream
chair
store
bread","flag
egg
rail
boy
snow
party
wine
button",148745,"38","female","English","white",0,1,0.625
"4","anon0",6,701,"698
698
698
698
698
698
698
698
698
698
698
698
698
698
698
698",8,"save","save","toy,glove,roll,scene,fowl,lace,son,field","stage,duck,rifle,fang,shirt,bulb,fruit,yarn","glove
roll
field
fowl
lace
son
","stage
duck
rifle
fang
shirt
bulb
fruit
yarn",119360,"38","female","English","white",1,1,0.75
"5","anon0",7,337,"334
334
334
334
334
334
334
334
334
334
334
334
334
334
334
334
334
334",8,"delete","delete","horse,space,cent,meal,candy,army,expert,wash","top,animal,stream,test,meat,chair,store,bead","horse
space
cent
meal
candy
army
expert
wash","top
animal
stream
test
meat
chair
store
bread",102217,"38","female","English","white",1,0.875,1
"6","anon0",8,670,"577
577
577
577
577
577
577
577
577
577
577
577
577
577
577
57",8,"delete","delete","laugh,whip,land,thing,car,walk,sink,camp","clam,mice,guide,key,note,river,pen,earth","sink
camp
laugh","mouse
earth
pen
note
cup
",100216,"38","female","English","white",0,0.375,0.375
"7","anon1",3,259,"259
256
253
250
247
244
241
238
235
",8,"save","save","laugh,whip,land,thing,car,walk,sink,camp","stage,duck,rifle,fang,shirt,bulb,fruit,yarn","laugh
whip
car
sink","yarn
fruit
fang
duck
stage
rifle",132993,"29","male","ENGLISH","asian",8,0.75,0.5
"8","anon1",4,863,"863
860
857
854
851
848
845
842",8,"delete","delete","horse,space,cent,meal,candy,army,expert,wash","cup,street,paper,bank,voyage,fuel,swing,bag","horse
meal
candy
wash
","street
paper
bank
voyage",103433,"29","male","ENGLISH","asian",7,0.5,0.5
"9","anon1",5,408,"408
405
402
399
396
393
390",8,"delete","delete","moth,steel,lumber,suit,sound,trip,sign,junk","clam,mice,guide,key,note,river,pen,earth","junk
sign
lumber
steel
suit
moth","pen
key
note
mice
clam
earth",105465,"29","male","ENGLISH","asian",6,0.75,0.75
"10","anon1",6,969,"969
966
963
960
957
954
951
948",8,"save","save","title,tub,letter,cellar,offer,planes,knee,hope","chess,curtain,time,plant,pies,geese,jar,word","hope
knee
title
tub
offer
plane","chess
jar
word
pies
time
plant
curtain",130489,"29","male","ENGLISH","asian",7,0.875,0.75
"11","anon1",7,232,"232
229
226
223
220
217
214
211",8,"delete","delete","top,animal,stream,test,meat,chair,store,bead","flag,eggs,boy,rail,party,snow,button,wine","bead
chair
meat
test
top
","flag
eggs
boy
snow
wine",101601,"29","male","ENGLISH","asian",7,0.625,0.625
"12","anon1",8,708,"708
705
702
699
696
693",8,"save","save","toy,glove,roll,scene,fowl,lace,son,field","top,animal,stream,test,meat,chair,store,bead","field
son
toy
roll
glove","bead
store
top
animal
test
chair
",128257,"29","male","ENGLISH","asian",5,0.75,0.625
"13","anon10",3,826,"823
820
817
814
811
808
",8,"save","save","laugh,whip,land,thing,car,walk,sink,camp","cup,street,paper,bank,voyage,fuel,swing,bag","car
camp
swing
sink
walk
cap
","paper
bank
bag
fuel
street
cup
laugh
",123138,"46","female","English","white",6,0.75,0.5
"14","anon10",4,477,"474
471
468
465
461
45",8,"save","save","horse,space,cent,meal,candy,army,expert,wash","top,animal,stream,test,meat,chair,store,bead","hope
meat
space
candy
army
expert
meal
bead","top
animal
meat
test
air
stream
chair
store
bead
",121406,"46","female","English","white",4,1,0.625
"15","anon10",5,610,"607
604
601
598
595
592
589
",8,"delete","delete","moth,steel,lumber,suit,sound,trip,sign,junk","stage,duck,rifle,fang,shirt,bulb,fruit,yarn","junk
sign
trip
suit
duck
stage
","moth
sign
store
meat
car
trip
map
",102919,"46","female","English","white",7,0,0.5
"16","anon10",6,264,"261
258
255
",8,"delete","delete","title,tub,letter,cellar,offer,planes,knee,hope","flag,eggs,boy,rail,party,snow,button,wine","tub
party
planes
offer
hope
cellar
","paper
jet
chair
store
",106721,"46","female","English","white",3,0,0.625
"17","anon10",7,281,"278
275
272
269
266]
",8,"save","save","toy,glove,roll,scene,fowl,lace,son,field","chess,curtain,time,plant,pies,geese,jar,word","son
fowl
field
glove
ball
lace
","chess
curtain
time
plant
pies
geese
jars
world
",119587,"46","female","English","white",4,0.75,0.625
"18","anon10",8,966,"966
963
960
957
954
951
948",8,"delete","delete","top,animal,stream,test,meat,chair,store,bead","clam,mice,guide,key,note,river,pen,earth","clam
mice
river
store
bead
chair
meat
top
","clam
mice
river
store
bead
chair
stream
",99981,"46","female","English","white",6,0.375,0.625
"19","anon11",3,226,"223
220
217
214
211
208
205
202
199
196",2,"delete","delete","moth,steel,lumber,suit,sound,trip,sign,junk","key,river","moth
steel
lumber
suit
sound
junk
","key
river",106394,"43","male","English","white",10,1,0.75
"20","anon11",4,721,"718
715
712
709
706
703
700
697
69",2,"delete","delete","top,animal,stream,test,meat,chair,store,bead","office,war","top
bead
animal
store
meat
bed
","office
war",127106,"43","male","English","white",8,1,0.625
"21","anon11",5,363,"360
357
354
351
348
345
342
339
336
",2,"save","save","toy,glove,roll,scene,fowl,lace,son,field","time,jar","scene
field
glove
toy
","time
jar",121529,"43","male","English","white",9,1,0.5
"22","anon11",6,388,"385
382
379
376
373
370
367
364
36",2,"save","save","horse,space,cent,meal,candy,army,expert,wash","cup,fuel","horse
space
expert
meal
wash
camp
","cup
fuel",122062,"43","male","English","white",8,1,0.625
"23","anon11",7,272,"269
266
263
260
257
254
251
248
245
242",2,"delete","delete","title,tub,letter,cellar,offer,planes,knee,hope","eggs,snow","title
tub
letter
plane
offer
hope
","eggs
snow",119145,"43","male","English","white",10,1,0.75
"24","anon11",8,289,"286
283
280
277
273
271
268
26",2,"save","save","laugh,whip,land,thing,car,walk,sink,camp","rifle,shirt","laugh
whip
sink
car
camp
walk
","rifle
shirt",121808,"43","male","English","white",5,1,0.75
"25","anon12",3,590,"590
587
584
581
578
575
",2,"save","save","toy,glove,roll,scene,fowl,lace,son,field","office,war","roll
glove
field
","office
war
",119860,"23","female","English","white",5,1,0.375
"26","anon12",4,207,"207
204
201
198
195
192
189
186
18",2,"delete","delete","laugh,whip,land,thing,car,walk,sink,camp","eggs,snow","laugh
land
whip
","egg
snow
",101628,"23","female","English","white",7,1,0.375
"27","anon12",5,471,"471
469
466
463
",2,"save","save","title,tub,letter,cellar,offer,planes,knee,hope","cup,fuel","knee
planes
offer
hope
cellar
","cup
fuel
",119917,"23","female","English","white",2,1,0.625
"28","anon12",6,820,"820
817
814
811
809
806
803",2,"save","save","horse,space,cent,meal,candy,army,expert,wash","time,jar","horse
space
cent
meal
army
wash
candy
","time
jar",119077,"23","female","English","white",5,1,0.875
"29","anon12",7,644,"644
641
638
635
632
629
626
",2,"delete","delete","moth,steel,lumber,suit,sound,trip,sign,junk","key,river","moth
steel
lumbar
suit
","river
key
",103256,"23","female","English","white",6,1,0.375
"30","anon12",8,432,"432
429
426
423
420
417
414
411
",2,"delete","delete","top,animal,stream,test,meat,chair,store,bead","rifle,shirt","meat
store
bead
animal
","rifle
shirt
",102684,"23","female","English","white",7,1,0.5
"31","anon13",3,897,"894
891
798",8,"save","save","top,animal,stream,test,meat,chair,store,bead","flag,eggs,boy,rail,party,snow,button,wine","top
test
meat
","wine
eggs
snow

",123439,"36","male","English","white",2,0.375,0.375
"32","anon13",4,446,"443
440
437
434",8,"delete","delete","toy,glove,roll,scene,fowl,lace,son,field","top,animal,stream,test,meat,chair,store,bead","roll
fowl
lace
","store
top
",101801,"36","male","English","white",4,0.25,0.375
"33","anon13",5,625,"622
619
616
613
",8,"save","save","horse,space,cent,meal,candy,army,expert,wash","chess,curtain,time,plant,pies,geese,jar,word","space
meal
","jar
plant
time
pies
",121935,"36","male","English","white",4,0.5,0.25
"34","anon13",6,768,"765
762
759
756",8,"delete","delete","moth,steel,lumber,suit,sound,trip,sign,junk","cup,street,paper,bank,voyage,fuel,swing,bag","steel
trip
","cup
",100307,"36","male","English","white",4,0.125,0.25
"35","anon13",7,518,"515
512
509
506
503
5",8,"delete","delete","laugh,whip,land,thing,car,walk,sink,camp","clam,mice,guide,key,note,river,pen,earth","whip
land
","mice
key
",101676,"36","male","English","white",5,0.25,0.25
"36","anon13",8,995,"992
989
986
983
",8,"save","save","title,tub,letter,cellar,offer,planes,knee,hope","stage,duck,rifle,fang,shirt,bulb,fruit,yarn","title
tub","stage
duck
rifle
fang
",115432,"36","male","English","white",4,0.5,0.25
"37","anon14",3,433,"430
427
424
421
418
415
412
409
406
",8,"save","save","moth,steel,lumber,suit,sound,trip,sign,junk","clam,mice,guide,key,note,river,pen,earth","moth
steel
lumber
suit
sign","clam
mice
guide
key
river
pen
earth",146689,"33","male","English","white",9,0.875,0.625
"38","anon14",4,934,"931
928
925
922
919
916
913
910
",8,"delete","delete","top,animal,stream,test,meat,chair,store,bead","cup,street,paper,bank,voyage,fuel,swing,bag","top
animal
stream","cup
street
paper
bank",125873,"33","male","English","white",8,0.5,0.375
"39","anon14",5,879,"876
873
870
867
864
861
858
",8,"delete","delete","laugh,whip,land,thing,car,walk,sink,camp","flag,eggs,boy,rail,party,snow,button,wine","laugh
whip
land
sink
","flag
eggs
",113314,"33","male","English","white",7,0.25,0.5
"40","anon14",6,747,"744
741
738
735
732
729
726
723
720
717
",8,"save","save","title,tub,letter,cellar,offer,planes,knee,hope","top,animal,stream,test,meat,chair,store,bead","title
tub
letter
cellar","top
animal
stream
test
meat
chair
store
bead
",128335,"33","male","English","white",10,1,0.5
"41","anon14",7,345,"342
339
336
333
330
327
324
321
318
315
312",8,"save","save","horse,space,cent,meal,candy,army,expert,wash","chess,curtain,time,plant,pies,geese,jar,word","horse
space
army
wheel","chess
curtain
time
plant
pies
geese
jar
word",134748,"33","male","English","white",11,1,0.375
