workerid,condition,year,sex,environmentalist,race,grandparent,children,leg_essay,beh_int_index,env_att_index,leg_mot_index
anon1,control,36,male,yes,white,yes,yes,,5.83333333333333,6.75,5.33333333333333
anon10,leg_prime,31,male,no,white,no,no,"I want people to remember me for having been a good person in life who would give his shirt off his back for others. I would like people to remember me for how fairly I treated everyone I came into contact with, and for how willing I was to speak my mind. I also want to make some sort of lasting contribution to society. I am not sure what that is yet, but I want to make a useful contribution to society. I want people to remember me by that contribution as well. I want my children, when I have some, to remember me fondly for my actions in life, and to pass on my legacy through the generations.",1.66666666666667,4.25,4.66666666666667
anon100,leg_prime,29,male,no,white,no,no,"In the future I would like to remembered for being a good kind person, and for caring about other people and the environment. I want to be known for being environmentally responsible and leaving a legacy of helping environmental causes. I don't want to be famous for being rich or being a celebrity. I want to be remembered as a good a loyal friend and family member, and kind to animals and nature. I would also like to remembered as a good cook, and pass on knowledge to younger people because I think being able to cook your own food has become less common but is important.",4,5,4
anon101,control,24,female,no,African_American,no,no,,2.5,4.25,3.66666666666667
anon102,leg_prime,52,male,no,white,no,no,"I honestly don't think about being remembered for anything.  If I had to choose something to be remembered, I'd want to be remembered for my integrity and the way that I treated people.  I would want to be remembered as someone who took pride in what they were doing no matter what it was.  Someone who didn't do things halfway or just did enough to get by.  I would also want to be remembered for my love of learning.  The way that I always wanted to know the reason for things instead of just accepting them at face value.  I would want to be remembered as someone who was able to give of himself and help people even when there was nothing at all to be gained by it except for the feeling you get when you are there for someone who needs you.",2.16666666666667,4.25,2.66666666666667
anon103,leg_prime,28,male,no,white,no,yes,"I would want to be remembered as someone who thought for themself, and was kind to everyone.  I kinda think that I lack in a lot of areas of skills, which has gotten me to thinking a lot about what I want to be known for.  There are guys that are know for their expertise in tools, cars, sports.  I don't know that I am any of those.  However, there is one thing that everyone can be known for that is positive, and that is that they are kind and compatible with others.  I think this includes not taking sides in all kinds of affairs, and only being highly opinionated when need be.",3,5,3.33333333333333
anon104,leg_prime,26,male,yes,Hispanic,no,yes,I want to be remembered for the enlightenment I taught all those we sought truth. For them to know that the absolute divinity in Life is to Seek Truth in All Things. I would tell my future generations that there isn't anything in this world that is unattainable with dedication hard work an love you can acquire all things. Patience is the key to most be acceptance an understanding will always guide you along your way in life. Prosper each an everyday for there truly is zero time to waste. We do all move at our own pace as in learning wise but to never stop wanting to know more for in that alone you will be on the right course. Eliminate all negative energy from ones life for it only hinders your ability to preserver. Be good to those who you have found comfort in for the good are hard to come by when you are on the opposing side. Believe in your ability for in it you are.,3.33333333333333,5.5,4.33333333333333
anon105,control,21,female,yes,white,no,no,,3.66666666666667,4.75,5
anon106,control,22,female,no,Asian,no,no,,1.83333333333333,4.25,5.33333333333333
anon107,leg_prime,25,male,yes,white,no,no,"would like to be remembered I would like to be remembered as the guy who could always make you laugh. I want to be remembered as the guy who brightened your day up by making you smile. I have always been told that I have a gift for making people laugh. Some people want to be remembered by being the smartest or most athletic. But those only help you. I make people laugh, I myself get nothing more than seeing the joy and laughter on one someone's face after I tell I joke or make a funny comment.",3.83333333333333,5.75,5.33333333333333
anon108,leg_prime,30,female,no,white,no,no,I would like to be remembered as being a strong woman who did what I could to stand on my own two feet. I believe in being self reliant and independent. It helps you earn your things on your own and you appreciate yourself more.,4,4,5.33333333333333
anon109,control,25,male,no,white,no,no,,2,4.5,4.33333333333333
anon11,leg_prime,32,female,yes,white,no,no,i am a filmmaker and i want to be know for creating content with a positive educational message.  there is so much corruption in the world today and its the medias job to distract the masses with tv shows and movies that provide nothing but dullard entertainment.  i want my production company to be associated with stories that make the masses aware of how they are being manipulated.,2.5,4.75,5.66666666666667
anon110,control,32,male,no,white,no,yes,,4,4,5.66666666666667
anon111,leg_prime,29,male,yes,Asian,no,no,"I want to be remembered as someone who was a good person who had a positive impact on others. I want to be remembered as someone funny who made other people laugh. I want to be remembered for my writing and ideas. I want people in the future to look at my stories and journals and be able to see what people today have not. I want them to see the ideas I had and realize how ahead of my time I was. I would hope that the people of the future can learn from the ideas I have written down that people today cannot necessarily learn from because they don't understand it. I want the passage of time to be the rosetta stone for future generations to decrypt my consciousness and my true impressions and understandings of the world. I want them to look back and want to bring me back to life to help them even if it's physically impossible for them to. I don't really care if it's not possible, I would just like them to feel that way.",2.83333333333333,5,4
anon112,leg_prime,22,female,no,white,no,no,"I want people to have respect for people, thats what i want to be remember for. i am usually courtist of others and just in generally a good person. im not expecting super nice people and everyone agrees yes to something, but i want to be remember for the time i did hold the door for someone, that i shared my food with someone hungry, that i let someone have money and they didnt need to pay it back. i wold just like to see more of that and for it to be sincire. ",2.66666666666667,4.5,4
anon113,control,34,male,yes,white,no,no,,4.33333333333333,6,5.33333333333333
anon114,control,29,male,no,Asian,no,no,,3.33333333333333,4.75,3
anon115,control,41,female,no,white,no,yes,,3.5,5,5.33333333333333
anon116,leg_prime,36,male,no,white,no,no,"I would like to be remembered as someone who was able to teach people things that help them lead a happier life when I am ultimately finished living.  Helping people learn more about history, or perhaps how to properly invest their money and be more independent would be something that I could see myself offering to others.

I would like people to think that I was a good person, maybe a little bit eccentric, but ultimately someone who could be relied upon and would not be a burden on others or to society.  At the end of the day, I would like to be remembered as someone who contributed more than he took from society, and hopefully left things in a better way than I started.

I guess I would want to be remembered as someone who lived simply, did his work well, and made people happy.",3.16666666666667,4.75,4.33333333333333
anon117,leg_prime,34,female,yes,white,no,no,I want to be remembered as a radical feminist who was fearless and loved animals. I want to pass on the permaculture farm I have built and leave a legacy of caring for the living earth and all it;s inhabitants. I want women to be inspired to leave the toxic world of patriarchy behind and embrace their sacred power as givers and protectors of life. I want to leave other women a path to freedom and empowerment. I want women to love and protect other species more and develop such kinship in following my example and ideas. I want to be remembered for living a kind life that made me happy and helped other beings.  There is nothing more personal or important that I can think of. ,3.66666666666667,4.75,5
anon118,control,21,male,no,Native_American,no,no,,2.33333333333333,5,2.33333333333333
anon119,leg_prime,56,female,yes,white,yes,yes,"I would like to be remembered by the fact that I was a very good person and   was a very devoted mother to my three children. My legacy is for my children and grand children to remember the little things that we did. Money and possessions really dont matter, it is the person that means the most. The need for me to be remembered as an old hippie. I was a flower child and loved nature. I was a very simple person, didnt need alot, just a pretty flower and a ride to the mountains. Nothing like a good cold beer. Yes, that is a good memory to leave. Memories of the beach, the woods, and of course the lake.",4,5.5,5.33333333333333
anon12,leg_prime,42,female,yes,white,no,yes,"I want to be remembered as someone who was compassionate and empathetic towards others. I could amass wealth and, yeah, while that would be great...I think my concern for others would be a greater legacy to leave behind. All too often we encounter folks who are just interested in their own needs and not comcerned about other's well-being. I don't want to be one of those fools. When I am gone, i want my kids and grandkids to talk about how i cared for others. I want to be remembered as someone who wanted to make the world - or at least my corner of it - a better place.",3.66666666666667,5.5,6
anon120,control,29,male,no,white,no,yes,,1.16666666666667,3.75,3.33333333333333
anon121,leg_prime,27,female,no,white,no,yes,"I want to be remembered as a genuine person. Someone who was a caring, devoted, dedicated person. I want to be remembered as someone who was obsessed with her family in a good way. I want to teach my children to know that life is good, that living is worth it, that we live on this beautiful earth and need to take advantage of it. I want to be remembered as someone who cared about her body in the sense that it is a gift to have one and need to treat it with respect. I want to teach my children that they can accomplish anything when they decide to work hard enough for it. I want them to know that I love them and support them no matter what. I want to others to know that I love them and be a good example of how to love others.",3.66666666666667,4.5,4.33333333333333
anon122,control,30,male,no,white,no,no,,1.66666666666667,5,2
anon123,leg_prime,49,male,yes,white,no,yes,I want people to remember me for my love of music and my desire to expose more people to good music.  I want people to remember that I would champion bands and musicians and would head out to hear them play live - even under the most trying of circumstances.  I also want people to remember how passionate I was for collecting music from my favorite musicians and my interest and passion for listening to live music.  I also want people to remember how music helped to shape the type of person that I am and the characteristics and traits that make me unique from other individuals.  I want people to appreciate these items and to recognize that this made me unique and I hope that I can inspire other people to carry on with the same passion and energy that I have always felt in my own life.    I would also hope that people remember that I was also very loyal to my favorite musicians and bands and would support them in any way that I could.,3.5,5.5,4.66666666666667
anon124,leg_prime,31,female,no,white,no,yes,"Now that I'm a parent I want to be remembered for being the best parent I can be. For helping mold my daughter, and for her to speak highly of me after I'm gone. Prior to being a mother I'd want to be remembered as being adventurous and crazy-fun. I'd want people to remember that I took a year off work to sail the Bahama's on my boat and the East Coast and had the adventure of a lifetime and was brave enough to do it. I'd want people to remember I randomly wrote a book when I was there and posted it on Amazon just to see, and that over 100,000 people bought the book that it took me a month to write and edit and and design the cover for and publish. I'd want people to shake their heads fondly and chuckle and say ""typical XXXX, crazy girl"". None of that matters now that I'm a mother, and all I want is to be remembered as is being a steady hand, and an open heart. ",2.33333333333333,4.75,5.33333333333333
anon125,leg_prime,72,male,yes,white,no,no,"Not really interested in being remembered, but I probably will be. Just the way the world works. I'll probably be remembered for a number of things. The way I understand young people. I have a very vivid imagination, one that supersedes their own. And I play it up. Also my understanding of computer tech, software, and OSs will be memorable, I'm sure. ",3,4.75,1
anon126,leg_prime,36,female,no,white,no,no,"My Name.but then again who doesn't. As a good mother, an accomplished photographer and a loving wife. As a loving mother  and a good person. Those are the qualities that are most important to me to strive towards in life, and are how I would most like to be remembered. 	

I also, want to be remembered by many for bravery and courage, And the strength to follow my dreams and not become comfortable with barely living because that's what were told to do, be remembered for your dreams that you want to be true.",3.16666666666667,4.5,4.66666666666667
anon127,control,29,male,no,white,no,no,,3,4.25,3
anon128,control,23,male,no,white,no,no,,2,4.5,3.33333333333333
anon129,control,43,female,NA,white,no,yes,,2.83333333333333,4.75,4
anon13,control,31,male,no,Hispanic,no,no,,2.5,4.75,4.33333333333333
anon130,control,33,male,no,white,no,no,,2.33333333333333,4.5,5
anon131,control,27,female,yes,white,no,yes,,4,4.5,5.33333333333333
anon132,control,22,male,no,white,no,no,,4.16666666666667,4.5,4.66666666666667
