workerid,trial_number_block,rating,gender,age,sentence,definition,political,condition,homelang,income,education,ethnicity,aim,traitb,traitType,trait,genderF
anon1,1,8,female,25-34,Cooperative,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Cooperative,female
anon1,2,6,female,25-34,Ambitious,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Ambitious,female
anon1,3,1,female,25-34,Courageous,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Courageous,female
anon1,4,1,female,25-34,Supportive,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Supportive,female
anon1,5,5,female,25-34,Decisive,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Decisive,female
anon1,6,8,female,25-34,Daring,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Daring,female
anon1,7,4,female,25-34,Willing to take risks,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Willing to take risks,female
anon1,8,7,female,25-34,Adventurous,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Adventurous,female
anon1,9,1,female,25-34,Nurturing,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Nurturing,female
anon1,10,1,female,25-34,Sensitive,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Sensitive,female
anon1,11,5,female,25-34,Helpful to others,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Helpful to others,female
anon1,12,5,female,25-34,Competitive,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Competitive,female
anon1,13,2,female,25-34,Self-reliant,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,TRUE,Masculine,Self-reliant,female
anon1,14,1,female,25-34,Sympathetic,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Sympathetic,female
anon1,15,1,female,25-34,Understanding of others,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Understanding of others,female
anon1,16,1,female,25-34,Warm in relationships with others,"THE ABILITY TO BE UNIQUE AND DIFFERENT USING ONES IMAGINATION OR IDEAS FOR A PROJECT, WORK, ETC",3,Convergent,ENGLISH,LessThan15000,someGrad,Black,THOUGHTS AND MAKING DECISIONS ON WHAT IS DEFINED AS CREATIVITY,FALSE,Feminine,Warm in relationships with others,female
anon10,1,5,male,25-34,Warm in relationships with others,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Warm in relationships with others,male
anon10,2,3,male,25-34,Nurturing,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Nurturing,male
anon10,3,8,male,25-34,Competitive,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Competitive,male
anon10,4,9,male,25-34,Willing to take risks,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Willing to take risks,male
anon10,5,5,male,25-34,Cooperative,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Cooperative,male
anon10,6,7,male,25-34,Sensitive,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Sensitive,male
anon10,7,4,male,25-34,Supportive,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Supportive,male
anon10,8,8,male,25-34,Daring,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Daring,male
anon10,9,7,male,25-34,Self-reliant,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Self-reliant,male
