"","workerid","condition","timeMetric","incrAction","delay.rt","savings.rt","delaytime","savings","age","gender","edu","race","income","purpose","comments","gendercat","educat","racecat","incomecat","delaydiv","delaytimeyrs"
"1","anon1","fineincremental","fine","incremental",16412,28427,1,"30",33,2,3,1,3,"{"""":""Retirement"",""",""":""No.""}","Male","college degree","White non-Hispanic","$30-$39,999",365,0.00273972602739726
"2","anon10","fineincremental","fine","incremental",8030,16291,1,"5",55,2,2,1,2,"{"""":""saving for retirement"",""",""":""no""}","Male","some college or technical school","White non-Hispanic","$20-$29,999",365,0.00273972602739726
"3","anon100","grossincremental","gross","incremental",14788,72685,0,"5000",37,2,3,1,6,"{"""":""what i worry about"",""",""":""""}","Male","college degree","White non-Hispanic","$60-$69,999",1,0
"4","anon101","grossoverall","gross","overall",7212,9376,1,"500000",25,2,3,5,10,"{"""":""I don't know"",""",""":""No.""}","Male","college degree","Asian","$100,000",1,1
"5","anon102","grossincremental","gross","incremental",4622,6813,15,"5000",25,2,3,1,NA,"{"""":"""",""",""":""""}","Male","college degree","White non-Hispanic",NA,1,15
"6","anon103","fineincremental","fine","incremental",8194,17734,10,"15",34,2,3,1,8,"{"""":"""",""",""":""""}","Male","college degree","White non-Hispanic","$80-$89,999",365,0.0273972602739726
"7","anon104","grossincremental","gross","incremental",4629,20152,0,"6000",42,2,3,1,10,"{"""":""retirement perceptions"",""",""":""""}","Male","college degree","White non-Hispanic","$100,000",1,0
"8","anon105","fineincremental","fine","incremental",12446,11658,1,"20",38,2,5,1,5,"{"""":""How much we are willing to save when the end of our career is in sight."",""",""":""""}","Male","post-graduate degree e.g., Masters, Ph.D., J.D.","White non-Hispanic","$50-$59,999",365,0.00273972602739726
"9","anon106","grossoverall","gross","overall",22824,21467,34522,"100",33,2,3,1,NA,"{"""":""retirement"",""",""":""no""}","Male","college degree","White non-Hispanic",NA,1,34522
"10","anon107","grossoverall","gross","overall",5023,5673,5,"100000",25,2,1,1,3,"{"""":""Retirement planning."",""",""":""""}","Male","high school diploma or less","White non-Hispanic","$30-$39,999",1,5
"11","anon108","fineoverall","fine","overall",3737,3345,0,"0",24,4,6,7,11,"{"""":""\nFuture Decisions Study"",""",""":""idk what's with the iframe but if this is the end then the pay/time ratio is ok""}","Decline to state","Decline to state","Decline to state","Decline to state",365,0
"12","anon109","fineincremental","fine","incremental",15033,22953,0,"10",30,1,2,1,NA,"{"""":""Relationship of age to seriousness of retirement planning."",""",""":""I have never thought about how much to save for retirement before....""}","Female","some college or technical school","White non-Hispanic",NA,365,0
"13","anon11","fineincremental","fine","incremental",17482,34901,7,"15",36,2,1,2,3,"{"""":""retirement planning"",""",""":""thx""}","Male","high school diploma or less","White Hispanic","$30-$39,999",365,0.0191780821917808
"14","anon110","fineoverall","fine","overall",12163,8936,10950,"500000",29,2,3,1,2,"{"""":""The future"",""",""":""none""}","Male","college degree","White non-Hispanic","$20-$29,999",365,30
"15","anon111","fineoverall","fine","overall",91879,13504,5000,"0",43,2,3,1,NA,"{"""":""I don't know"",""",""":""no""}","Male","college degree","White non-Hispanic",NA,365,13.6986301369863
"16","anon112","fineoverall","fine","overall",7197,8697,1,"1000000",56,1,3,1,5,"{"""":""NO CLUE"",""",""":""THANKS""}","Female","college degree","White non-Hispanic","$50-$59,999",365,0.00273972602739726
"17","anon113","fineincremental","fine","incremental",10892,23000,1,"100",33,1,5,5,10,"{"""":"""",""",""":""""}","Female","post-graduate degree e.g., Masters, Ph.D., J.D.","Asian","$100,000",365,0.00273972602739726
